date,time,ID,trial,timepoint,bin,tank,treatment,diameter,consumed,pycno,notes,bucket
2020-09-15,07:40:00,1_18,1,6,18,C,pycno,61,0.2,yes,NA,pycno
2020-09-15,11:40:00,1_10,1,7,10,A,empty,76,1.3,no,NA,empty
2020-09-15,11:40:00,1_4,1,7,4,A,empty,76,1.4,no,NA,empty
2020-09-15,11:40:00,1_3,1,7,3,A,empty,68,0.1,no,NA,empty
2020-09-15,11:40:00,1_2,1,7,2,A,empty,65,0,no,"visual measurement error gave negative number, changed to 0",empty
2020-09-15,11:40:00,1_17,1,7,17,A,empty,72,1.3,no,NA,empty
2020-09-15,11:40:00,1_14,1,7,14,B,empty,69,3.1,no,NA,empty
2020-09-15,11:40:00,1_13,1,7,13,B,empty,66,3,no,NA,empty
2020-09-15,11:40:00,1_16,1,7,16,B,empty,71,0,no,NA,empty
2020-09-15,11:40:00,1_15,1,7,15,B,empty,74,0,no,"visual measurement error gave negative number, changed to 0",empty
2020-09-15,11:40:00,1_12,1,7,12,B,empty,75,3.1,no,NA,empty
2020-09-15,11:40:00,1_1,1,7,1,C,pycno,75,1.4,yes,NA,pycno
2020-09-15,11:40:00,1_5,1,7,5,C,pycno,68,1.4,yes,NA,pycno
2020-09-15,11:40:00,1_7,1,7,7,C,pycno,65,0,yes,NA,pycno
2020-09-15,11:40:00,1_6,1,7,6,C,pycno,78,0,yes,NA,pycno
2020-09-15,11:40:00,1_18,1,7,18,C,pycno,61,0.2,yes,NA,pycno
2020-09-17,10:45:00,2_14,2,0,14,D,pycno,76,0,yes,NA,pycno
2020-09-17,10:45:00,2_16,2,0,16,D,pycno,69,0,yes,NA,pycno
2020-09-17,10:45:00,2_10,2,0,10,D,pycno,62,0,yes,NA,pycno
2020-09-17,10:45:00,2_9,2,0,9,D,pycno,72,0,yes,NA,pycno
2020-09-17,10:45:00,2_11,2,0,11,D,pycno,63,0,yes,NA,pycno
2020-09-17,10:45:00,2_17,2,0,17,D,pycno,71,0,yes,NA,pycno
2020-09-17,10:45:00,2_12,2,0,12,D,pycno,71,0,yes,NA,pycno
2020-09-17,10:45:00,2_7,2,0,7,E,empty,68,0,no,NA,empty
2020-09-17,10:45:00,2_5,2,0,5,E,empty,63,0,no,NA,empty
2020-09-17,10:45:00,2_13,2,0,13,E,empty,72,0,no,NA,empty
2020-09-17,10:45:00,2_2,2,0,2,E,empty,79,0,no,NA,empty
2020-09-17,10:45:00,2_1,2,0,1,E,empty,67,0,no,NA,empty
2020-09-17,10:45:00,2_15,2,0,15,E,empty,72,0,no,NA,empty
2020-09-17,10:45:00,2_3,2,0,3,E,empty,77,0,no,NA,empty
2020-09-17,13:45:00,2_7,2,1,7,E,empty,68,0,no,NA,empty
2020-09-17,13:45:00,2_5,2,1,5,E,empty,63,0.9,no,NA,empty
2020-09-17,13:45:00,2_13,2,1,13,E,empty,72,0,no,NA,empty
2020-09-17,13:45:00,2_2,2,1,2,E,empty,79,5.5,no,NA,empty
2020-09-17,13:45:00,2_1,2,1,1,E,empty,67,0.4,no,NA,empty
2020-09-17,13:45:00,2_15,2,1,15,E,empty,72,0,no,NA,empty
2020-09-17,13:45:00,2_3,2,1,3,E,empty,77,0.2,no,NA,empty
2020-09-17,13:45:00,2_14,2,1,14,D,pycno,76,0,yes,NA,pycno
2020-09-17,13:45:00,2_16,2,1,16,D,pycno,69,0,yes,NA,pycno
2020-09-17,13:45:00,2_10,2,1,10,D,pycno,62,0,yes,NA,pycno
2020-09-17,13:45:00,2_9,2,1,9,D,pycno,72,0,yes,NA,pycno
2020-09-17,13:45:00,2_11,2,1,11,D,pycno,63,0,yes,NA,pycno
2020-09-17,13:45:00,2_17,2,1,17,D,pycno,71,0.4,yes,NA,pycno
2020-09-17,13:45:00,2_12,2,1,12,D,pycno,71,0,yes,NA,pycno
2020-09-17,19:55:00,2_7,2,2,7,E,empty,68,0,no,NA,empty
2020-09-17,19:55:00,2_5,2,2,5,E,empty,63,1,no,NA,empty
2020-09-17,19:55:00,2_13,2,2,13,E,empty,72,0,no,NA,empty
2020-09-17,19:55:00,2_2,2,2,2,E,empty,79,8.5,no,NA,empty
2020-09-17,19:55:00,2_1,2,2,1,E,empty,67,0.9,no,NA,empty
2020-09-17,19:55:00,2_15,2,2,15,E,empty,72,0,no,NA,empty
2020-09-17,19:55:00,2_3,2,2,3,E,empty,77,1.3,no,"bin broke while taking out, transfered urchin to bin 6",empty
2020-09-17,19:55:00,2_14,2,2,14,D,pycno,76,0.2,yes,NA,pycno
2020-09-17,19:55:00,2_16,2,2,16,D,pycno,69,0,yes,NA,pycno
2020-09-17,19:55:00,2_10,2,2,10,D,pycno,62,0,yes,NA,pycno
2020-09-17,19:55:00,2_9,2,2,9,D,pycno,72,0,yes,NA,pycno
2020-09-17,19:55:00,2_11,2,2,11,D,pycno,63,0.6,yes,NA,pycno
2020-09-17,19:55:00,2_17,2,2,17,D,pycno,71,0.8,yes,NA,pycno
